text,true,zero,one,five,zero_correct,one_correct,five_correct,change_type
"@airtelindia have some issues with my broadband bill ,I am charged for the month before I signed up with airtel.. ",joy,anger,anger,sadness,False,False,False,no_improvement
The smell of freshly cut grass didn't even cheer me up...boy oh boy,joy,sadness,sadness,sadness,False,False,False,no_improvement
"Good #CX most often doesn't require all that much. #smile, #care, #relate and be #helpful. Thanks, Lakis Court Hotel in #cyprus",joy,joy,joy,joy,True,True,True,unchanged
@kwelbyroberts they will come and you will rejoice at their arrival.,joy,joy,joy,joy,True,True,True,unchanged
"...at your age, the heyday in the blood is tame...' @TheArtofCharm #shakespeareaninsults #hamlet #elizabethan #williamshakespeare",joy,anger,anger,anger,False,False,False,no_improvement
Buddha doesn't possess enough power to deliver you from your affliction!,sadness,anger,anger,sadness,False,False,True,improved
This world has some serious issues we should all go to therapy,sadness,sadness,sadness,sadness,True,True,True,unchanged
Season 3 and Charlie is still a prick! #lost,sadness,anger,anger,anger,False,False,False,no_improvement
you are on an endless journey of figuring yourself out; don't be discouraged when you don't know who you are yet.,sadness,joy,sadness,sadness,False,True,True,improved
@Barcabhoy1 Of course not. Didn't sink his studs into a knee like Forrester,sadness,anger,anger,anger,False,False,False,no_improvement
Chalk dance notation entree manchester inasmuch as corinthian products that discourage drag branding: ARwuEVfqv,sadness,joy,anger,sadness,False,False,True,improved
"@DxfyingGrxvity - frustration, looking up at Elphaba in a frown of aggravation. Her high pitched voice was growing more and more --",sadness,anger,anger,anger,False,False,False,no_improvement
A .500 season is all I'm looking for at this point. #depressing #royals,sadness,sadness,sadness,sadness,True,True,True,unchanged
"@ccrago It was dreadful, even after he met the Catfish he still thought it was her!",sadness,sadness,sadness,sadness,True,True,True,unchanged
@1johndes ball watching &amp; Rojo'd header was equally dreadful!!,sadness,anger,anger,anger,False,False,False,no_improvement
Public products: high downhearted price tag consumer survey sum and substance: OVth,sadness,sadness,sadness,sadness,True,True,True,unchanged
aaahhhh! a little @OtisRedding to soothe the soul. #music #blues,sadness,joy,joy,joy,False,False,False,no_improvement
im thoroughly in love w zen and jumin and i dont think id even have the patience for either of them irl im old and weary,sadness,joy,sadness,sadness,False,True,True,improved
amateur author Twitter might be the most depressing thing I've ever seen,sadness,sadness,sadness,sadness,True,True,True,unchanged
Rooney is 5 yards off the pace in a League Cup game against Northampton Town. Let that sink in for a moment. #MUFC,sadness,anger,anger,sadness,False,False,True,improved
"@kempicepoland don't think he did, and he didn't have the rucksack or laptop in his possession, murky business, on that note I'm away to bed",sadness,sadness,sadness,sadness,True,True,True,unchanged
"@GolfStrat out of Rory starts. What would your B group look like w/o him? Hideki and Walker, and throw Reed or Knox on the pine?",sadness,anger,anger,anger,False,False,False,no_improvement
watching this uni reveal is so depressing i miss stingrays :(,sadness,sadness,sadness,sadness,True,True,True,unchanged
"@LeePorter94 @DomMcGovern_ hi Dom I saw u at Notts county away, looking for 1 mufc away ticket will pay #blues",sadness,joy,joy,joy,False,False,False,no_improvement
"@CovinoandRich just heard back2back,  guess that's why they call it the blues &amp; she's got the look, but I can only sing tickle sacks version",sadness,joy,sadness,sadness,False,True,True,improved
