text,true_emotion,predicted_emotion
@kwelbyroberts they will come and you will rejoice at their arrival.,joy,joy
"...at your age, the heyday in the blood is tame...' @TheArtofCharm #shakespeareaninsults #hamlet #elizabethan #williamshakespeare",joy,anger
Buddha doesn't possess enough power to deliver you from your affliction!,sadness,anger
This world has some serious issues we should all go to therapy,sadness,sadness
Season 3 and Charlie is still a prick! #lost,sadness,anger
you are on an endless journey of figuring yourself out; don't be discouraged when you don't know who you are yet.,sadness,joy
@Barcabhoy1 Of course not. Didn't sink his studs into a knee like Forrester,sadness,anger
Chalk dance notation entree manchester inasmuch as corinthian products that discourage drag branding: ARwuEVfqv,sadness,joy
"@DxfyingGrxvity - frustration, looking up at Elphaba in a frown of aggravation. Her high pitched voice was growing more and more --",sadness,anger
A .500 season is all I'm looking for at this point. #depressing #royals,sadness,sadness
"@ccrago It was dreadful, even after he met the Catfish he still thought it was her!",sadness,sadness
@1johndes ball watching &amp; Rojo'd header was equally dreadful!!,sadness,anger
Public products: high downhearted price tag consumer survey sum and substance: OVth,sadness,sadness
aaahhhh! a little @OtisRedding to soothe the soul. #music #blues,sadness,joy
im thoroughly in love w zen and jumin and i dont think id even have the patience for either of them irl im old and weary,sadness,joy
amateur author Twitter might be the most depressing thing I've ever seen,sadness,sadness
Rooney is 5 yards off the pace in a League Cup game against Northampton Town. Let that sink in for a moment. #MUFC,sadness,anger
"@kempicepoland don't think he did, and he didn't have the rucksack or laptop in his possession, murky business, on that note I'm away to bed",sadness,sadness
"@GolfStrat out of Rory starts. What would your B group look like w/o him? Hideki and Walker, and throw Reed or Knox on the pine?",sadness,anger
watching this uni reveal is so depressing i miss stingrays :(,sadness,sadness
"@LeePorter94 @DomMcGovern_ hi Dom I saw u at Notts county away, looking for 1 mufc away ticket will pay #blues",sadness,joy
"@CovinoandRich just heard back2back,  guess that's why they call it the blues &amp; she's got the look, but I can only sing tickle sacks version",sadness,joy
